House,Q1,Q2,Q3,Q4,Q5,Q6,Q7
Slytherin,Ask for more stories,Black visions goblet,Cold,Ghosts,"Worried about mental health, call Dr.",Forest,Left
Slytherin,Ask for more stories,Black visions goblet,Hunger,Superstrength,Nightmare: silly voice,Moon,Black
Slytherin,Ask for more stories,Fresh Parchment,Being Ignored,Every area of magic,Volunteer to fight,Moon,Tails
Slytherin,Ask for more stories,Golden sunspots potion,Boredom,Merpeople,Silly voice,Dusk,Tails
Slytherin,Ask for more stories,Golden sunspots potion,Feared,Vampires,Draw wand and stand ground,Dawn,White
Slytherin,Ask for more stories,Home,Feared,Transfiguration,Tell Flitwick before the test,Moon,Right
Slytherin,Ask for more stories,Log Fire,Imitated,Talk to animals,"Worried about mental health, call Dr.",Moon,Tails
Ravenclaw,Ask for more stories,Luminous pool,Book>Records>Cure,Read Minds,Tell person to tell truth or you will,Dawn,Left
Slytherin,Ask for more stories,Luminous pool,Liked,Every area of magic,"Draw wand, find source",Stars,White
Gryffindor,Ask for more stories,Luminous pool,Trusted,Change the past,"Draw wand, find source",Moon,Tails
Slytherin,Ask for more stories,Merlin's rune box,Being Ignored,Hexes and Jinxes,Tell person to tell truth or you will,Dusk,Right
Ravenclaw,Ask for more stories,Merlin's rune box,Boredom,Read Minds,"Cobbled street, ancient buildings",Forest,White
Slytherin,Ask for more stories,Merlin's rune box,Cold,Every area of magic,Tell Flitwick before the test,Stars,Left
Slytherin,Ask for more stories,Merlin's rune box,Cold,Hexes and Jinxes,Wide sunny grassy lane,River,Tails
Gryffindor,Ask for more stories,Merlin's rune box,Envied,Change appearance,Ask what makes them think so,Stars,Tails
Slytherin,Ask for more stories,Merlin's rune box,Envied,Every area of magic,Withdraw and review spells,Stars,Right
Slytherin,Ask for more stories,Merlin's rune box,Envied,Every area of magic,Withdraw and review spells,Stars,Right
Slytherin,Ask for more stories,Merlin's rune box,Liked,Read Minds,"Up high, no handholds",Dawn,Tails
Slytherin,Ask for more stories,Merlin's rune box,Liked,Transfiguration,Offer them a sample of a jinx,Dusk,Right
Gryffindor,Ask for more stories,Ornate temptation box,Cure>Book>Records,Castle secrets,Eye at keyhole of dark,Dusk,Black
Hufflepuff,Ask for more stories,Ornate temptation box,Feared,Trolls,"Worried about mental health, call Dr.",Stars,Right
Gryffindor,Ask for more stories,Pewter box for worthy,Boredom,Change appearance,Tell person to tell truth or you will,Moon,Right
Slytherin,Ask for more stories,Piano,Imitated,Apparition/Disapparition,Offer them a sample of a jinx,Stars,Tails
Ravenclaw,Ask for more stories,Piano,Liked,Read Minds,Wide sunny grassy lane,Dawn,Heads
Gryffindor,Ask for more stories,Plums and chocolate,Cure>Book>Records,Change appearance,Agree and walk away (bluffing),Stars,Black
Gryffindor,Ask for more stories,Plums and chocolate,Cure>Book>Records,Every area of magic,Twisting leafy woodsy path,Dusk,Black
Slytherin,Ask for more stories,Plums and chocolate,Trusted,Goblins,Twisting leafy woodsy path,Moon,Left
Gryffindor,Ask for more stories,Sea,Cure>Book>Records,Read Minds,Twisting leafy woodsy path,Forest,White
Gryffindor,Ask for more stories,Sea,Cure>Book>Records,Read Minds,Twisting leafy woodsy path,Forest,White
Ravenclaw,Ask for more stories,Sea,Imitated,Castle secrets,"Up high, no handholds",Forest,Heads
Ravenclaw,Ask for more stories,Sea,Imitated,Castle secrets,"Up high, no handholds",Forest,Heads
Ravenclaw,Ask for more stories,"Silver tree, golden apples",Being Ignored,Broom Flying,Eye at keyhole of dark,Dawn,White
Gryffindor,Ask for more stories,"Silver tree, golden apples",Book>Cure>Records,Change appearance,No one knows you,Moon,Tails
Slytherin,Ask for more stories,"Silver tree, golden apples",Cold,Change the past,Withdraw and review spells,Forest,Black
Gryffindor,Ask for more stories,"Silver tree, golden apples",Praised,Centaurs,Confuse Troll,Stars,Black
Slytherin,Ask for more stories,Statue,Cold,Magical Creatures,Suggest all 3 fight (without informing troll),Forest,Left
Gryffindor,Ask for more stories,Statue,Feared,Talk to animals,Lantern-lit alley,Forest,Black
Gryffindor,Ask for more stories,Statue,Records>Cure>Book,Change appearance,"Draw wand, find source",Moon,Heads
Hufflepuff,Ask for more stories,Statue,Records>Cure>Book,Every area of magic,Ask what makes them think so,River,Heads
Gryffindor,Ask for more stories,Tortoiseshell squeaky box,Boredom,Change appearance,Twisting leafy woodsy path,Moon,Tails
Gryffindor,Ask for more stories,Tortoiseshell squeaky box,Cure>Book>Records,Broom Flying,Tell person to tell truth or you will,Forest,Right
Slytherin,Ask for more stories,Trumpet,Cold,Superstrength,Draw wand and stand ground,Dusk,Black
Hufflepuff,Ask for more stories,Trumpet,Liked,Werewolves,Lie and say you don't know,River,Right
Ravenclaw,Ask for more stories,Violin,Hunger,Ghosts,Confuse Troll,Forest,Left
Slytherin,Ask for more stories,Violin,Hunger,Superstrength,Draw wand and stand ground,Moon,Right
Gryffindor,Ask for more stories,Violin,Trusted,Centaurs,No one knows you,Forest,White
